Unnamed: 0,Image,Words,detected_words,jaccard_similarity
0,data\SVT\02_19.jpg,brown's arcade hair salon located inside dry clean,"['located', 'salon', 'inside', 'arcade', ""brown's""]",0.625
1,data\SVT\15_19.jpg,holiday inn boutique designed hotel at a holiday inn price you have 2 see believe left turn yield,[],0.0
2,data\SVT\11_17.jpg,tabu,[],0.0
3,data\SVT\01_09.jpg,nick's greek corner,"['/', 'nicks', 'cousp', 'greek']",0.16666666666666666
4,data\SVT\13_18.jpg,portland's restaurant bar,"['t', 'bar', ""portland's"", '•', 'restaura']",0.3333333333333333
5,data\SVT\09_19.jpg,simon,['simon'],1.0
6,data\SVT\05_14.jpg,de la salle,[],0.0
7,data\SVT\04_19.jpg,glenoaks cleaners & laundry rubina's salon supply open hair cut men women children shirts $1,"['laundry', 'o)', 'a', 'salon', 'cleaners', 'clea', 'ty', 'glenoaks']",0.21052631578947367
8,data\SVT\01_02.jpg,sol's one way 75,[],0.0
9,data\SVT\16_06.jpg,city lights books bookstore cash beat,['iflll'],0.0
10,data\SVT\17_11.jpg,miraido village leasing office buy wanted,['oftxct'],0.0
11,data\SVT\15_04.jpg,timken museum of art european works american paintings and russian icons free admission 1500,"['timken', 'museum', 'w.rbofa,t', 'art', 'of', 'icem']",0.25
12,data\SVT\14_02.jpg,marriott,['narrjolt'],0.0
13,data\SVT\12_16.jpg,united states mint bus parking facility use tunnel one way,[],0.0
14,data\SVT\00_11.jpg,welcome to mills ford,"['o', 'mills']",0.2
15,data\SVT\09_03.jpg,houlihan's café,['houlihans'],0.0
16,data\SVT\06_01.jpg,garden café,['iii'],0.0
17,data\SVT\00_00.jpg,doll house tap beer,[],0.0
18,data\SVT\14_08.jpg,pioneer place saks fifth avenue,"['pioneer', 'place']",0.4
19,data\SVT\17_08.jpg,bo town chinese vietnamese,"['chinese', 'bo', 'vietnames*', 'town']",0.6
20,data\SVT\12_18.jpg,chinatown dollar inc $1 up ding ho medicine hardware stationary houseware,"['dollar', 'v:ynatown']",0.08333333333333333
21,data\SVT\18_03.jpg,m hotel max,[],0.0
22,data\SVT\18_19.jpg,neumos upcoming shows,['euh•10b'],0.0
23,data\SVT\19_06.jpg,the fireplace liquor atm samuel adams pacific state everyday wine special,"['fireplace', 'liquor', 'the', 'be']",0.25
24,data\SVT\13_13.jpg,space 55,[],0.0
25,data\SVT\15_07.jpg,croce's restaurant,"[""croce's"", 'restaurant']",1.0
26,data\SVT\09_00.jpg,circle centre,"['sit', 'äiieäm-']",0.0
27,data\SVT\14_14.jpg,satyriconpdx.com the life and times system and station microtia,"['-', 'the', 'salyriconpdx.cok-', 'times', 'life', 'and']",0.4
28,data\SVT\02_07.jpg,gigi just delicious pizza sapph,[],0.0
29,data\SVT\02_12.jpg,scores balitmore,"['scones', 'cores']",0.0
30,data\SVT\08_05.jpg,two shell plaza,[],0.0
31,data\SVT\06_15.jpg,physicians day surgery,"['physicians', 'daysurc,ery']",0.25
32,data\SVT\13_12.jpg,ymca,[],0.0
33,data\SVT\09_14.jpg,zoll zesco brothers products,[],0.0
34,data\SVT\13_04.jpg,phelps dodge tower,[],0.0
35,data\SVT\03_14.jpg,himalayas restaurant best indian lunch 2010 14th street,"['ion', 'vnc', '•', 'himalayas']",0.09090909090909091
36,data\SVT\04_03.jpg,modern barber cut color perm 446 open,[],0.0
37,data\SVT\17_15.jpg,goodwill goodsource division,"['good,w.ili;']",0.0
38,data\SVT\18_08.jpg,garage 1130,['oeii'],0.0
39,data\SVT\07_06.jpg,captiol custom tailors for ladies & gentlemen jewelry andora watercourse foods bakery baked goods 8612057,"['tailors', 'custom', 'capitol']",0.125
40,data\SVT\00_14.jpg,original pancake house parking no,"['pancake', 't4.kal', 'house']",0.3333333333333333
41,data\SVT\01_16.jpg,embassy,[],0.0
42,data\SVT\03_18.jpg,barnsley tire co. yokoha michelin,"['co.', 'tire', 'barnsley']",0.6
43,data\SVT\11_01.jpg,napasorn 56,[],0.0
44,data\SVT\07_13.jpg,quizno's subs open $5 enter large 1275 order,"['qsubs', 'quizno', 'quiznosæsubs']",0.0
45,data\SVT\16_00.jpg,grand hyatt san francisco,[],0.0
46,data\SVT\15_02.jpg,great food classic rock yard house world's largest selection of draft beer,"['8', 'food', 'classic', 'selection', ""world's"", 'largest', 'yard', '•', 'rock', 'of', 'house']",0.6428571428571429
47,data\SVT\00_09.jpg,"goodwill store over 3,000 new items stocked daily","['store', 'a,eei', 'over', 'goodwill']",0.3333333333333333
48,data\SVT\14_18.jpg,marriott,['xarrtott'],0.0
49,data\SVT\13_07.jpg,eye lounge,"['ebuno:', 'aka']",0.0
50,data\SVT\00_12.jpg,subway,[],0.0
51,data\SVT\18_09.jpg,pike and western wine shop,"['pike', ""'vesterv"", 'siiop']",0.14285714285714285
52,data\SVT\16_02.jpg,the mosser parking 54,"['parking', 'thevosser']",0.2
53,data\SVT\08_16.jpg,alden,['alden'],1.0
54,data\SVT\15_06.jpg,el cortez,"['el', 'cortez']",1.0
55,data\SVT\10_03.jpg,paya pakistan tea house a touch of traditional cuisine tex-mexican express 212-240-9800 176 church st. phone open 1k36,"[':', 'tea', 'a', 'pakistan', '212-240-9800', 'cuisine', 'touch', 'of', 'traditional', 'house']",0.47368421052631576
56,data\SVT\11_06.jpg,starbucks coffee,"['starbucks', 'coffee']",1.0
57,data\SVT\05_01.jpg,moon palace,"['palace', 'moon']",1.0
58,data\SVT\05_05.jpg,g. fisherman's sons inc fine fabrics draperies,[],0.0
59,data\SVT\17_05.jpg,mcdonald's,"[""mcdonald's""]",1.0
60,data\SVT\08_10.jpg,1001 mckinney,[],0.0
61,data\SVT\02_09.jpg,mount vernon hotel & cafeteria new guests must first register for garage access,"['cafetecia', '&', 'mount', 'vetncn', 'hotel']",0.2
62,data\SVT\09_18.jpg,homewood suites 211,"['homewood', '211', 'suites']",1.0
63,data\SVT\18_15.jpg,sixth avenue bar & grill,['baiwrill'],0.0
64,data\SVT\09_05.jpg,complexions,['complexions'],1.0
65,data\SVT\06_00.jpg,fine italian imports & deli jimmy's food store fresh meats sausages espresso $1 shot plus tax,"['8', 'food', 'store', 'imports', 'italian', 'meats', 'deli', 'fresh', ""jimmy's"", 'fine', 'shot']",0.5882352941176471
66,data\SVT\18_10.jpg,best western executive inn,"['executive', 'inn']",0.5
67,data\SVT\11_07.jpg,parliament house resort latin night  lisa lane dj dido,"['latin', 'lane', 'doo', 'dj', 'niøff', 'resort', '{parliament', 'usa']",0.3076923076923077
68,data\SVT\07_00.jpg,capitol hill books the book,[],0.0
69,data\SVT\04_17.jpg,pizza man he delivers jas gifts buy 1 get free 5 6 open,"['jas', 'gifts']",0.15384615384615385
70,data\SVT\17_04.jpg,gombei closed,"['.11', 'gombei']",0.3333333333333333
71,data\SVT\17_09.jpg,the sainte claire,"['sainte', 'the', 'claire']",1.0
72,data\SVT\17_19.jpg,anno domini saner mar 6 thru apr 18,"['marg', 'aprio', '9', 'saner', 'thru', 'ono', 'domini']",0.25
73,data\SVT\14_01.jpg,higgins,[],0.0
74,data\SVT\07_07.jpg,quality custom framing in only 6 to 8 days hollywood posters we have more rock & movie than there are in the world alaskan amber bud light,"['8', 'l', 'world!""', 'hollywood', 'posters', 'have', '6', 'quality', '&', 'in', 'only', 'there', 'framing', 'movie', 'v', 'custom', 'the', 'are', 'd', 'rock', 'than', 'days!', 'more']",0.5806451612903226
