filename,extracted_text,word_label,similarity
.\Data\SVT\00_00.jpg,"['dol', 'hut', 'tapbeer']","['beer', 'doll', 'house', 'tap']",0
.\Data\SVT\00_05.jpg,"['1+', 'daieim', 'muz1o']","['241', 'anaheim', 'library', 'muzeo', 'public']",0
.\Data\SVT\00_07.jpg,"['1', 'anaheim', 'band', 'instruments']","['anaheim', 'band', 'instruments']",0.75
.\Data\SVT\00_09.jpg,"['3', '9', 'doly', 'goodwill', 'items', 'new', 'over', 'stocied', 'store']","['3,000', 'daily', 'goodwill', 'items', 'new', 'over', 'stocked', 'store']",0.416666667
.\Data\SVT\00_10.jpg,"['angelo', 'bot', 'car', 'carlnoe', 'hamburgers', 'laundromat', 'rop', 's', 'servicb', 'tad sote', 'welcome']","[""angelo's"", 'beer', 'car', 'hamburgers', 'hop', 'laundromat', 'service', 'to', 'video', 'welcome']",0.235294118
.\Data\SVT\00_11.jpg,"['+', '7o', 'ford', 'mills', 'welcome']","['ford', 'mills', 'to', 'welcome']",0.5
.\Data\SVT\00_12.jpg,"['s', 'subwa']",['subway'],0
.\Data\SVT\00_14.jpg,"['house', 'original', 'pancake', 'parking']","['house', 'no', 'original', 'pancake', 'parking']",0.8
.\Data\SVT\01_01.jpg,['budget'],['budget'],1
.\Data\SVT\01_02.jpg,"[""sol's""]","['75', 'one', ""sol's"", 'way']",0.25
.\Data\SVT\01_04.jpg,['shell'],['shell'],1
.\Data\SVT\01_05.jpg,"['0o', '1', '2bdo', 'enterprise', 'rent-acor']","['1', '800', 'a', 'car', 'enterprise', 'rent']",0.222222222
.\Data\SVT\01_09.jpg,"['corner', 'greek', 'hinvr', ""nick's"", 'or']","['corner', 'greek', ""nick's""]",0.6
.\Data\SVT\01_10.jpg,"['payless', 'sheesouree']","['payless', 'shoesource']",0.333333333
.\Data\SVT\01_13.jpg,"['700', 'b', 'gay', 'i', 'icebox', 'ni', 'ool', 'pparel', 'products', 'promotional', 'stuff', 'th', 'the']","['700', 'apparel', 'brand', 'cool', 'icebox', 'products', 'promotional', 'stuff', 'the']",0.375
.\Data\SVT\01_16.jpg,"['a', 'b', 'e', 'm', 's', 'ssy', 'y']",['embassy'],0
.\Data\SVT\01_18.jpg,"['fdc', 'hotel', 'quality']","['fdc', 'hotel', 'quality']",1
.\Data\SVT\01_19.jpg,"['202', 'heftz']","['202', 'hertz', 'parking']",0.25
.\Data\SVT\02_03.jpg,"['1400', 'community', 'dunbar', 'high', 'laurence', 'orleans', 'paul', 'school', 'street']","['1400', 'community', 'dunbar', 'high', 'laurence', 'orleans', 'paul', 'school', 'street']",1
.\Data\SVT\02_04.jpg,"['-4455', 'bre', 'buffalo', 'camden', 'catering', 'drat brer', 'dratt', 'eclas', 'favori', 'i', 'karaoke', 'n', 'pub', 'sp', 'specials', 'the', 'www.camdenp']","['4455', 'adams', 'atm', 'award', 'baltimore', 'beer', 'buffalo', 'camden', 'catering', 'draft', 'karaoke', 'pub', 'restaurant', 'samuel', 'specials', 'the']",0.269230769
.\Data\SVT\02_07.jpg,['(gig'],"['delicious', 'gigi', 'just', 'pizza', 'sapph']",0
.\Data\SVT\02_09.jpg,"['&', 'b', 'cafeteria', 'hotel', 'mount', 'vernon']","['&', 'access', 'cafeteria', 'first', 'for', 'garage', 'guests', 'hotel', 'mount', 'must', 'new', 'register', 'vernon']",0.357142857
.\Data\SVT\02_11.jpg,"['cuisine', 'hhirish', 'thai']","['cuisine', 'thai', 'thairish']",0.5
.\Data\SVT\02_12.jpg,"['coree', 'ealinone', 'scores']","['balitmore', 'scores']",0.25
.\Data\SVT\02_14.jpg,"['0701', '6', ""chiapparelli's""]",['chiapparellis'],0
.\Data\SVT\02_16.jpg,"['2forss', 'beer', 'day', 'drank', 'fl', 'game', 'hamptontnr.', 'here', 'latina', 'pickles', 'pub', 'specials', 'wise']","['2', '5', 'all', 'beer', 'bird', 'day', 'drank', 'during', 'events', 'flu', 'for', 'game', 'hampton', 'here', 'inn', 'latina', 'no', 'parking', 'pickles', 'pub', 'specials', 'stadium', 'wise']",0.384615385
.\Data\SVT\02_19.jpg,"['altera', 'arcade', ""brown's"", 'clea', 'clean', 'dr', 'dry', 'expe', 'hair', 'inside', 'located', 'salon', 'se']","['arcade', ""brown's"", 'clean', 'dry', 'hair', 'inside', 'located', 'salon']",0.615384615
.\Data\SVT\03_00.jpg,"['mountain', 'pub', 'pub & 8rpwery', 'sun']","['&', '1535', 'brewery', 'hand', 'left', 'mirror', 'mountain', 'pond', 'pub', 'sun']",0.272727273
.\Data\SVT\03_01.jpg,"['2709', 'boot', 'fitting', 'g', 'gasiiie', ""larry's"", 'spruoe', 'street']","['2709', 'boot', 'fitting', ""larry's"", 'spruce', 'street']",0.555555556
.\Data\SVT\03_02.jpg,"['beads', 'ow', 'pen']","['2539', 'beads', 'ow', 'pen']",0.75
.\Data\SVT\03_08.jpg,['mberline'],['timberline'],0
.\Data\SVT\03_12.jpg,['trident'],['trident'],1
.\Data\SVT\03_14.jpg,"['14th', '2010', 'best', 'himalayas', 'idianluncf', 'resitaranito', 'stree']","['14th', '2010', 'best', 'himalayas', 'indian', 'lunch', 'restaurant', 'street']",0.363636364
.\Data\SVT\03_15.jpg,"['7fx', 'cookin', 'heat', 'horton', 'poc', 'reverend', 'sfloet', 'tnrjgrrce']","['cookin', 'fox', 'heat', 'horton', 'reverend', 'the']",0.4
.\Data\SVT\03_18.jpg,"['barnsley', 'co.', 'g', 'tire']","['barnsley', 'co.', 'michelin', 'tire', 'yokoha']",0.5
.\Data\SVT\04_01.jpg,"['&', 'a/c', 'b', 'chiropractic', 'deli', 'di', 'fortllease', 'fresh', 'garny', 'giulio', 'meat', 'meat &', 'piken']","['&', '818-755-2700', 'a/c', 'chiropractic', 'deli', 'di', 'for', 'fresh', 'garny', 'giulio', 'lease', 'meat', 'medical', 'piken', 'space']",0.555555556
.\Data\SVT\04_03.jpg,"['446', 'b', 'barber', 'color', 'cut', 'erm', 'modern']","['446', 'barber', 'color', 'cut', 'modern', 'open', 'perm']",0.555555556
.\Data\SVT\04_04.jpg,"['563-4', '564410', 'b', 'glenoaks', 'maste', 'master', 'nail', 'nails', 's']","['glenoaks', 'master', 'nails']",0.333333333
.\Data\SVT\04_05.jpg,"['b', 'church', 'first', 'methodist', 'united']","['church', 'first', 'methodist', 'united']",0.8
.\Data\SVT\04_07.jpg,"['b', 'glenoaks 5', 'mobile', 't']","['glenoaks', 'mobile', 't']",0.4
.\Data\SVT\04_14.jpg,"['1-6626', '920', 'accountancy', 'closed', 'm&m', 'mers', 'theeamo', 'y']","['920', 'accountancy', 'closed', 'm&m']",0.5
.\Data\SVT\04_17.jpg,"['5', 'baut', 'buy', 'deivers', 'e', 'get', 'gifts', 'pizza', 'tas']","['1', '5', '6', 'buy', 'delivers', 'free', 'get', 'gifts', 'he', 'jas', 'man', 'open', 'pizza']",0.294117647
.\Data\SVT\04_19.jpg,"['&', ""2ubina's"", 'b', 'cleaners', 'cut', 'glenoaks', 'laundry', 'open', 'salon', 'uty']","['$1', '&', 'children', 'cleaners', 'cut', 'glenoaks', 'hair', 'laundry', 'men', 'open', ""rubina's"", 'salon', 'shirts', 'supply', 'women']",0.388888889
.\Data\SVT\05_01.jpg,"['moon', 'palace']","['moon', 'palace']",1
.\Data\SVT\05_03.jpg,"['+d', 'wholefoods']","['foods', 'market', 'whole']",0
.\Data\SVT\05_05.jpg,"['#', 'draperies', 'fabrics', 'fine', 'fishinans', 'it.c', 'nc.', 'sais']","['draperies', 'fabrics', 'fine', ""fisherman's"", 'g.', 'inc', 'sons']",0.25
.\Data\SVT\05_06.jpg,"['b', 'jerome', 'school', 'st']","['jerome', 'school', 'st']",0.75
.\Data\SVT\05_08.jpg,"['0225-888', '1225-b888', '13', 'a', 'a+', 'chinatown', 'e 46', 'hotel']","['(312)225-8888', 'chinatown', 'hotel']",0.222222222
.\Data\SVT\05_10.jpg,"['+d', 'chicadd', 'gra', 'grandsiand', 'grandstand', 'police']","['chicago', 'grandstand', 'police']",0.285714286
.\Data\SVT\05_11.jpg,"['&', '+d', '3', 'certied', 'corner', 'gpocers', 'grill', ""martin's"", 'rar']","['&', 'bar', 'certified', 'corner', 'grill', 'grocers', ""martin's""]",0.333333333
.\Data\SVT\05_13.jpg,"['at&t', 'game', 'stop']","['at&t', 'gamestop']",0.25
.\Data\SVT\05_14.jpg,"['a+', 'de', 'la', 'salle']","['de', 'la', 'salle']",0.75
.\Data\SVT\05_16.jpg,['target'],['target'],1
