filename,extracted_text,word_label,similarity
.\Data\SVT\00_00.jpg,:dol:hut:tapbeer:,doll house tap beer,
.\Data\SVT\00_05.jpg,:1+:daieim:muz1o:,anaheim public library muzeo 241,
.\Data\SVT\00_07.jpg,:1:anaheim:band:instruments:,anaheim band instruments,
.\Data\SVT\00_09.jpg,:3:9:doly:goodwill:items:new:over:stocied:store:,"goodwill store over 3,000 new items stocked daily",
.\Data\SVT\00_10.jpg,:angelo:bot:car:carlnoe:hamburgers:laundromat:rop:s:servicb:tad sote:welcome:,angelo's car hop service hamburgers laundromat welcome to beer video,
.\Data\SVT\00_11.jpg,:+:7o:ford:mills:welcome:,welcome to mills ford,
.\Data\SVT\00_12.jpg,:s:subwa:,subway,
.\Data\SVT\00_14.jpg,:house:original:pancake:parking:,original pancake house parking no,
.\Data\SVT\01_01.jpg,:budget:,budget,
.\Data\SVT\01_02.jpg,:sol's:,sol's one way 75 ,
.\Data\SVT\01_04.jpg,:shell:,shell,
.\Data\SVT\01_05.jpg,:0o:1:2bdo:enterprise:rent-acor:,enterprise 1 800 rent a car,
.\Data\SVT\01_09.jpg,:corner:greek:hinvr:nick's:or:,nick's greek corner,
.\Data\SVT\01_10.jpg,:payless:sheesouree:,payless shoesource,
.\Data\SVT\01_13.jpg,:700:b:gay:i:icebox:ni:ool:pparel:products:promotional:stuff:th:the:,the icebox cool stuff brand apparel promotional products 700,
.\Data\SVT\01_16.jpg,:a:b:e:m:s:ssy:y:,embassy,
.\Data\SVT\01_18.jpg,:fdc:hotel:quality:,quality hotel fdc,
.\Data\SVT\01_19.jpg,:202:heftz:,hertz parking 202,
.\Data\SVT\02_03.jpg,:1400:community:dunbar:high:laurence:orleans:paul:school:street:,paul laurence dunbar community high school 1400 orleans street,
.\Data\SVT\02_04.jpg,:-4455:bre:buffalo:camden:catering:drat brer:dratt:eclas:favori:i:karaoke:n:pub:sp:specials:the:www.camdenp:,camden pub catering specials draft beer karaoke restaurant the baltimore award buffalo samuel adams 4455 atm,
.\Data\SVT\02_07.jpg,:(gig:,gigi just delicious pizza sapph,
.\Data\SVT\02_09.jpg,:&:b:cafeteria:hotel:mount:vernon:,mount vernon hotel & cafeteria new guests must first register for garage access,
.\Data\SVT\02_11.jpg,:cuisine:hhirish:thai:,thairish thai cuisine,
.\Data\SVT\02_12.jpg,:coree:ealinone:scores:,scores balitmore ,
.\Data\SVT\02_14.jpg,:0701:6:chiapparelli's:,chiapparellis,
.\Data\SVT\02_16.jpg,:2forss:beer:day:drank:fl:game:hamptontnr.:here:latina:pickles:pub:specials:wise:,pickles pub hampton inn wise latina drank here 2 for 5 beer bird flu game day specials no parking during all stadium events,
.\Data\SVT\02_19.jpg,:altera:arcade:brown's:clea:clean:dr:dry:expe:hair:inside:located:salon:se:,brown's arcade hair salon located inside dry clean,
.\Data\SVT\03_00.jpg,:mountain:pub:pub & 8rpwery:sun:,mountain sun pub & brewery left hand mirror pond 1535,
.\Data\SVT\03_01.jpg,:2709:boot:fitting:g:gasiiie:larry's:spruoe:street:,larry's boot fitting 2709 spruce street,
.\Data\SVT\03_02.jpg,:beads:ow:pen:,beads ow pen 2539,
.\Data\SVT\03_08.jpg,:mberline:,timberline,
.\Data\SVT\03_12.jpg,:trident:,trident,
.\Data\SVT\03_14.jpg,:14th:2010:best:himalayas:idianluncf:resitaranito:stree:,himalayas restaurant best indian lunch 2010 14th street,
.\Data\SVT\03_15.jpg,:7fx:cookin:heat:horton:poc:reverend:sfloet:tnrjgrrce:,fox reverend horton heat cookin the,
.\Data\SVT\03_18.jpg,:barnsley:co.:g:tire:,barnsley tire co. yokoha michelin,
.\Data\SVT\04_01.jpg,:&:a/c:b:chiropractic:deli:di:fortllease:fresh:garny:giulio:meat:meat &:piken:,garny meat & deli fresh di giulio chiropractic for lease piken medical space 818-755-2700 a/c,
.\Data\SVT\04_03.jpg,:446:b:barber:color:cut:erm:modern:,modern barber cut color perm 446 open,
.\Data\SVT\04_04.jpg,:563-4:564410:b:glenoaks:maste:master:nail:nails:s:,master nails glenoaks,
.\Data\SVT\04_05.jpg,:b:church:first:methodist:united:,first united methodist church,
.\Data\SVT\04_07.jpg,:b:glenoaks 5:mobile:t:,t mobile glenoaks,
.\Data\SVT\04_14.jpg,:1-6626:920:accountancy:closed:m&m:mers:theeamo:y:,920 m&m accountancy closed,
.\Data\SVT\04_17.jpg,:5:baut:buy:deivers:e:get:gifts:pizza:tas:,pizza man he delivers jas gifts buy 1 get free 5 6 open,
.\Data\SVT\04_19.jpg,:&:2ubina's:b:cleaners:cut:glenoaks:laundry:open:salon:uty:,glenoaks cleaners & laundry rubina's salon supply open hair cut men women children shirts $1 ,
.\Data\SVT\05_01.jpg,:moon:palace:,moon palace,
.\Data\SVT\05_03.jpg,:+d:wholefoods:,whole foods market,
.\Data\SVT\05_05.jpg,:#:draperies:fabrics:fine:fishinans:it.c:nc.:sais:,g. fisherman's sons inc fine fabrics draperies,
.\Data\SVT\05_06.jpg,:b:jerome:school:st:,st jerome school,
.\Data\SVT\05_08.jpg,:0225-888:1225-b888:13:a:a+:chinatown:e 46:hotel:,chinatown hotel (312)225-8888,
.\Data\SVT\05_10.jpg,:+d:chicadd:gra:grandsiand:grandstand:police:,grandstand chicago police,
.\Data\SVT\05_11.jpg,:&:+d:3:certied:corner:gpocers:grill:martin's:rar:,martin's corner bar & grill certified grocers,
.\Data\SVT\05_13.jpg,:at&t:game:stop:,at&t gamestop,
.\Data\SVT\05_14.jpg,:a+:de:la:salle:,de la salle,
.\Data\SVT\05_16.jpg,:target:,target,
.\Data\SVT\06_00.jpg,:$1:8:deli:espressi:fine:food:fresh:immy's:imports:italian:meats:plus:sausages:shot:store:ttalian:,fine italian imports & deli jimmy's food store fresh meats sausages espresso $1 shot plus tax,
.\Data\SVT\06_01.jpg,:cafe:garde:girden:,garden café,
.\Data\SVT\06_02.jpg,:1924:bar:bluecollar:the:,the blue collar bar 1924,
.\Data\SVT\06_04.jpg,:ale:beer:beer-winelotto-phone:cards:che:or:save-way:ur:wine:,save-way beer wine lotto phone cards for sale or lease the sip open cocacola,
.\Data\SVT\06_08.jpg,:antioue:asanineue:b's:free:g:lals:lula:mall:ope:rear:rking:z10330:,lula b's antique mall free rear open,
.\Data\SVT\06_12.jpg,:covffee:st-arbucks:,starbucks coffee,
.\Data\SVT\06_15.jpg,:daysurgery:p:physicians:,physicians day surgery,
.\Data\SVT\07_00.jpg,:00:books:capitol:e:h:u:,capitol hill books the book,
.\Data\SVT\07_05.jpg,:13thave:bender's:br:domino's:ta:,bender's 13th domino's pizza no parking any time,
.\Data\SVT\07_06.jpg,:&:8612057:b:bakery:capitol:custom:do:for:gentlemen:ladies:sjewelryg:tailors:watercou:,captiol custom tailors for ladies & gentlemen jewelry andora watercourse foods bakery baked goods 8612057 ,
.\Data\SVT\07_07.jpg,":""we:&:6:8:alaskan:are:custom:days!:framing:have:hollywood:in:more:movie:only:posters:quality:rock:t:than:the:there:world!"":",quality custom framing in only 6 to 8 days hollywood posters we have more rock & movie than there are in the world alaskan amber bud light,
.\Data\SVT\07_08.jpg,:57:avenue:tneatey:,avenue theater free gas,
.\Data\SVT\07_10.jpg,:day:every:medonald's:,mcdonald's every day free mall ride,
